filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image0.jpg,1487522,"{}",4,0,"{""name"":""rect"",""x"":1633,""y"":576,""width"":92,""height"":102}","{""Types"":""LEye""}"
image0.jpg,1487522,"{}",4,1,"{""name"":""rect"",""x"":2137,""y"":547,""width"":72,""height"":99}","{""Types"":""REye""}"
image0.jpg,1487522,"{}",4,2,"{""name"":""rect"",""x"":1877,""y"":1090,""width"":260,""height"":148}","{""Types"":""Muzzle""}"
image0.jpg,1487522,"{}",4,3,"{""name"":""rect"",""x"":1815,""y"":346,""width"":188,""height"":63}","{""Types"":""Forehead""}"
image9.jpg,1406535,"{}",4,0,"{""name"":""rect"",""x"":1594,""y"":698,""width"":92,""height"":89}","{""Types"":""LEye""}"
image9.jpg,1406535,"{}",4,1,"{""name"":""rect"",""x"":2098,""y"":665,""width"":76,""height"":102}","{""Types"":""REye""}"
image9.jpg,1406535,"{}",4,2,"{""name"":""rect"",""x"":1824,""y"":1205,""width"":254,""height"":145}","{""Types"":""Muzzle""}"
image9.jpg,1406535,"{}",4,3,"{""name"":""rect"",""x"":1775,""y"":454,""width"":217,""height"":69}","{""Types"":""Forehead""}"
image19.jpg,1382976,"{}",4,0,"{""name"":""rect"",""x"":1538,""y"":843,""width"":82,""height"":92}","{""Types"":""LEye""}"
image19.jpg,1382976,"{}",4,1,"{""name"":""rect"",""x"":2045,""y"":804,""width"":86,""height"":112}","{""Types"":""REye""}"
image19.jpg,1382976,"{}",4,2,"{""name"":""rect"",""x"":1696,""y"":1406,""width"":270,""height"":138}","{""Types"":""Muzzle""}"
image19.jpg,1382976,"{}",4,3,"{""name"":""rect"",""x"":1716,""y"":606,""width"":211,""height"":69}","{""Types"":""Forehead""}"
image25.jpg,1459016,"{}",4,0,"{""name"":""rect"",""x"":1489,""y"":932,""width"":99,""height"":109}","{""Types"":""FLEye""}"
image25.jpg,1459016,"{}",4,1,"{""name"":""rect"",""x"":2002,""y"":920,""width"":86,""height"":125}","{""Types"":""REye""}"
image25.jpg,1459016,"{}",4,2,"{""name"":""rect"",""x"":1614,""y"":1532,""width"":272,""height"":151}","{""Types"":""Muzzle""}"
image25.jpg,1459016,"{}",4,3,"{""name"":""rect"",""x"":1717,""y"":683,""width"":176,""height"":72}","{""Types"":""Forehead""}"
image286.jpg,1521318,"{}",4,0,"{""name"":""rect"",""x"":1838,""y"":1275,""width"":122,""height"":105}","{""Types"":""LEye""}"
image286.jpg,1521318,"{}",4,1,"{""name"":""rect"",""x"":2378,""y"":1238,""width"":56,""height"":99}","{""Types"":""FREye""}"
image286.jpg,1521318,"{}",4,2,"{""name"":""rect"",""x"":2183,""y"":1894,""width"":250,""height"":142}","{""Types"":""Muzzle""}"
image286.jpg,1521318,"{}",4,3,"{""name"":""rect"",""x"":2009,""y"":958,""width"":234,""height"":66}","{""Types"":""Forehead""}"
image317.jpg,1454776,"{}",4,0,"{""name"":""rect"",""x"":1811,""y"":869,""width"":125,""height"":112}","{""Types"":""LEye""}"
image317.jpg,1454776,"{}",4,1,"{""name"":""rect"",""x"":2381,""y"":804,""width"":63,""height"":102}","{""Types"":""REye""}"
image317.jpg,1454776,"{}",4,2,"{""name"":""rect"",""x"":2157,""y"":1492,""width"":287,""height"":148}","{""Types"":""Muzzle""}"
image317.jpg,1454776,"{}",4,3,"{""name"":""rect"",""x"":2009,""y"":590,""width"":204,""height"":63}","{""Types"":""Forehead""}"
image409.jpg,1567769,"{}",4,0,"{""name"":""rect"",""x"":1574,""y"":935,""width"":102,""height"":115}","{""Types"":""LEye""}"
image409.jpg,1567769,"{}",4,1,"{""name"":""rect"",""x"":2147,""y"":929,""width"":92,""height"":122}","{""Types"":""REye""}"
image409.jpg,1567769,"{}",4,2,"{""name"":""rect"",""x"":1752,""y"":1604,""width"":283,""height"":151}","{""Types"":""Muzzle""}"
image409.jpg,1567769,"{}",4,3,"{""name"":""rect"",""x"":1798,""y"":629,""width"":214,""height"":66}","{""Types"":""Forehead""}"
image426.jpg,1507598,"{}",4,0,"{""name"":""rect"",""x"":1456,""y"":790,""width"":86,""height"":119}","{""Types"":""LEye""}"
image426.jpg,1507598,"{}",4,1,"{""name"":""rect"",""x"":2009,""y"":840,""width"":119,""height"":132}","{""Types"":""REye""}"
image426.jpg,1507598,"{}",4,2,"{""name"":""rect"",""x"":1525,""y"":1459,""width"":287,""height"":184}","{""Types"":""Muzzle""}"
image426.jpg,1507598,"{}",4,3,"{""name"":""rect"",""x"":1713,""y"":520,""width"":198,""height"":76}","{""Types"":""Forehead""}"
image460.jpg,1594372,"{}",4,0,"{""name"":""rect"",""x"":1324,""y"":655,""width"":79,""height"":119}","{""Types"":""FLEye""}"
image460.jpg,1594372,"{}",4,1,"{""name"":""rect"",""x"":1775,""y"":748,""width"":155,""height"":148}","{""Types"":""REye""}"
image460.jpg,1594372,"{}",4,2,"{""name"":""rect"",""x"":1166,""y"":1235,""width"":263,""height"":237}","{""Types"":""Muzzle""}"
image460.jpg,1594372,"{}",4,3,"{""name"":""rect"",""x"":1630,""y"":445,""width"":194,""height"":86}","{""Types"":""Forehead""}"
image627.jpg,1466953,"{}",3,0,"{""name"":""rect"",""x"":1340,""y"":695,""width"":142,""height"":128}","{""Types"":""REye""}"
image627.jpg,1466953,"{}",3,1,"{""name"":""rect"",""x"":810,""y"":968,""width"":122,""height"":178}","{""Types"":""Muzzle""}"
image627.jpg,1466953,"{}",3,2,"{""name"":""rect"",""x"":1456,""y"":369,""width"":138,""height"":76}","{""Types"":""Forehead""}"
image768.jpg,1496079,"{}",4,0,"{""name"":""rect"",""x"":1370,""y"":395,""width"":72,""height"":105}","{""Types"":""LEye""}"
image768.jpg,1496079,"{}",4,1,"{""name"":""rect"",""x"":1838,""y"":402,""width"":128,""height"":142}","{""Types"":""REye""}"
image768.jpg,1496079,"{}",4,2,"{""name"":""rect"",""x"":1416,""y"":952,""width"":263,""height"":171}","{""Types"":""Muzzle""}"
image768.jpg,1496079,"{}",4,3,"{""name"":""rect"",""x"":1581,""y"":178,""width"":201,""height"":69}","{""Types"":""Forehead""}"
image784.jpg,1449939,"{}",4,0,"{""name"":""rect"",""x"":1442,""y"":227,""width"":99,""height"":112}","{""Types"":""LEye""}"
image784.jpg,1449939,"{}",4,1,"{""name"":""rect"",""x"":1956,""y"":207,""width"":102,""height"":119}","{""Types"":""REye""}"
image784.jpg,1449939,"{}",4,2,"{""name"":""rect"",""x"":1650,""y"":669,""width"":296,""height"":194}","{""Types"":""Muzzle""}"
image784.jpg,1449939,"{}",4,3,"{""name"":""rect"",""x"":1647,""y"":23,""width"":214,""height"":63}","{""Types"":""Forehead""}"
image818.jpg,1440141,"{}",4,0,"{""name"":""rect"",""x"":1347,""y"":415,""width"":92,""height"":115}","{""Types"":""LEye""}"
image818.jpg,1440141,"{}",4,1,"{""name"":""rect"",""x"":1841,""y"":441,""width"":112,""height"":132}","{""Types"":""REye""}"
image818.jpg,1440141,"{}",4,2,"{""name"":""rect"",""x"":1479,""y"":945,""width"":263,""height"":178}","{""Types"":""Muzzle""}"
image818.jpg,1440141,"{}",4,3,"{""name"":""rect"",""x"":1548,""y"":175,""width"":201,""height"":59}","{""Types"":""Forehead""}"
image853.jpg,1456988,"{}",4,0,"{""name"":""rect"",""x"":1337,""y"":599,""width"":86,""height"":86}","{""Types"":""LEye""}"
image853.jpg,1456988,"{}",4,1,"{""name"":""rect"",""x"":1841,""y"":590,""width"":102,""height"":115}","{""Types"":""REye""}"
image853.jpg,1456988,"{}",4,2,"{""name"":""rect"",""x"":1482,""y"":1107,""width"":267,""height"":158}","{""Types"":""Muzzle""}"
image853.jpg,1456988,"{}",4,3,"{""name"":""rect"",""x"":1541,""y"":323,""width"":191,""height"":63}","{""Types"":""Forehead""}"
image859.jpg,1456284,"{}",4,0,"{""name"":""rect"",""x"":1344,""y"":606,""width"":96,""height"":82}","{""Types"":""LEye""}"
image859.jpg,1456284,"{}",4,1,"{""name"":""rect"",""x"":1861,""y"":603,""width"":102,""height"":105}","{""Types"":""REye""}"
image859.jpg,1456284,"{}",4,2,"{""name"":""rect"",""x"":1512,""y"":1110,""width"":263,""height"":171}","{""Types"":""Muzzle""}"
image859.jpg,1456284,"{}",4,3,"{""name"":""rect"",""x"":1548,""y"":313,""width"":224,""height"":66}","{""Types"":""Forehead""}"
image901.jpg,1399947,"{}",4,0,"{""name"":""rect"",""x"":1390,""y"":616,""width"":105,""height"":119}","{""Types"":""LEye""}"
image901.jpg,1399947,"{}",4,1,"{""name"":""rect"",""x"":1930,""y"":573,""width"":79,""height"":122}","{""Types"":""REye""}"
image901.jpg,1399947,"{}",4,2,"{""name"":""rect"",""x"":1666,""y"":1080,""width"":310,""height"":191}","{""Types"":""Muzzle""}"
image901.jpg,1399947,"{}",4,3,"{""name"":""rect"",""x"":1601,""y"":352,""width"":207,""height"":76}","{""Types"":""Forehead""}"
image979.jpg,1429734,"{}",4,0,"{""name"":""rect"",""x"":1406,""y"":708,""width"":132,""height"":128}","{""Types"":""LEye""}"
image979.jpg,1429734,"{}",4,1,"{""name"":""rect"",""x"":1960,""y"":665,""width"":89,""height"":115}","{""Types"":""REye""}"
image979.jpg,1429734,"{}",4,2,"{""name"":""rect"",""x"":1736,""y"":1235,""width"":287,""height"":171}","{""Types"":""Muzzle""}"
image979.jpg,1429734,"{}",4,3,"{""name"":""rect"",""x"":1610,""y"":478,""width"":204,""height"":69}","{""Types"":""Forehead""}"
image1015.jpg,1431564,"{}",4,0,"{""name"":""rect"",""x"":1568,""y"":771,""width"":135,""height"":76}","{""Types"":""LEye""}"
image1015.jpg,1431564,"{}",4,1,"{""name"":""rect"",""x"":2091,""y"":711,""width"":63,""height"":96}","{""Types"":""FREye""}"
image1015.jpg,1431564,"{}",4,2,"{""name"":""rect"",""x"":2101,""y"":1179,""width"":257,""height"":175}","{""Types"":""Muzzle""}"
image1015.jpg,1431564,"{}",4,3,"{""name"":""rect"",""x"":1759,""y"":524,""width"":175,""height"":66}","{""Types"":""Forehead""}"
image1030.jpg,1409684,"{}",4,0,"{""name"":""rect"",""x"":1666,""y"":695,""width"":155,""height"":125}","{""Types"":""LEye""}"
image1030.jpg,1409684,"{}",4,1,"{""name"":""rect"",""x"":2147,""y"":659,""width"":66,""height"":86}","{""Types"":""FREye""}"
image1030.jpg,1409684,"{}",4,2,"{""name"":""rect"",""x"":2286,""y"":1064,""width"":240,""height"":194}","{""Types"":""Muzzle""}"
image1030.jpg,1409684,"{}",4,3,"{""name"":""rect"",""x"":1759,""y"":438,""width"":132,""height"":66}","{""Types"":""Forehead""}"
