,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,image0.jpg,1551472,{},3,0,"{""name"":""rect"",""x"":1882,""y"":841,""width"":137,""height"":80}","{""Types"":""REye""}"
1,image0.jpg,1551472,{},3,1,"{""name"":""rect"",""x"":1493,""y"":1223,""width"":153,""height"":131}","{""Types"":""Muzzle""}"
2,image0.jpg,1551472,{},3,2,"{""name"":""rect"",""x"":1825,""y"":531,""width"":153,""height"":76}","{""Types"":""Forehead""}"
3,image15.jpg,1551772,{},3,0,"{""name"":""rect"",""x"":1910,""y"":837,""width"":111,""height"":76}","{""Types"":""REye""}"
4,image15.jpg,1551772,{},3,1,"{""name"":""rect"",""x"":1509,""y"":1242,""width"":169,""height"":146}","{""Types"":""Muzzle""}"
5,image15.jpg,1551772,{},3,2,"{""name"":""rect"",""x"":1786,""y"":554,""width"":175,""height"":73}","{""Types"":""Forehead""}"
6,image36.jpg,1644708,{},4,0,"{""name"":""rect"",""x"":1627,""y"":831,""width"":70,""height"":86}","{""Types"":""LEye""}"
7,image36.jpg,1644708,{},4,1,"{""name"":""rect"",""x"":2019,""y"":844,""width"":89,""height"":96}","{""Types"":""REye""}"
8,image36.jpg,1644708,{},4,2,"{""name"":""rect"",""x"":1675,""y"":1305,""width"":217,""height"":143}","{""Types"":""Muzzle""}"
9,image36.jpg,1644708,{},4,3,"{""name"":""rect"",""x"":1796,""y"":637,""width"":172,""height"":64}","{""Types"":""Forehead""}"
10,image66.jpg,1619779,{},4,0,"{""name"":""rect"",""x"":1649,""y"":869,""width"":57,""height"":86}","{""Types"":""LEye""}"
11,image66.jpg,1619779,{},4,1,"{""name"":""rect"",""x"":2047,""y"":879,""width"":80,""height"":83}","{""Types"":""REye""}"
12,image66.jpg,1619779,{},4,2,"{""name"":""rect"",""x"":1745,""y"":1325,""width"":210,""height"":140}","{""Types"":""Muzzle""}"
13,image66.jpg,1619779,{},4,3,"{""name"":""rect"",""x"":1815,""y"":662,""width"":169,""height"":73}","{""Types"":""Forehead""}"
14,image93.jpg,1685404,{},4,0,"{""name"":""rect"",""x"":1649,""y"":923,""width"":67,""height"":76}","{""Types"":""LEye""}"
15,image93.jpg,1685404,{},4,1,"{""name"":""rect"",""x"":2041,""y"":920,""width"":76,""height"":86}","{""Types"":""REye""}"
16,image93.jpg,1685404,{},4,2,"{""name"":""rect"",""x"":1764,""y"":1369,""width"":204,""height"":134}","{""Types"":""Muzzle""}"
