,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,image0.jpg,1569429,{},4,0,"{""name"":""rect"",""x"":1865,""y"":789,""width"":63,""height"":113}","{""Types"":""LEye""}"
1,image0.jpg,1569429,{},4,1,"{""name"":""rect"",""x"":2363,""y"":844,""width"":88,""height"":101}","{""Types"":""REye""}"
2,image0.jpg,1569429,{},4,2,"{""name"":""rect"",""x"":1930,""y"":1416,""width"":265,""height"":159}","{""Types"":""Muzzle""}"
3,image0.jpg,1569429,{},4,3,"{""name"":""rect"",""x"":2064,""y"":517,""width"":229,""height"":78}","{""Types"":""Forehead""}"
8,image52.jpg,1515843,{},4,0,"{""name"":""rect"",""x"":1890,""y"":574,""width"":50,""height"":96}","{""Types"":""LEye""}"
9,image52.jpg,1515843,{},4,1,"{""name"":""rect"",""x"":2379,""y"":635,""width"":81,""height"":88}","{""Types"":""REye""}"
10,image52.jpg,1515843,{},4,2,"{""name"":""rect"",""x"":1885,""y"":1091,""width"":297,""height"":207}","{""Types"":""Muzzle""}"
11,image52.jpg,1515843,{},4,3,"{""name"":""rect"",""x"":2081,""y"":312,""width"":249,""height"":83}","{""Types"":""Forehead""}"
12,image63.jpg,1437307,{},4,0,"{""name"":""rect"",""x"":1887,""y"":441,""width"":35,""height"":106}","{""Types"":""LEye""}"
13,image63.jpg,1437307,{},4,1,"{""name"":""rect"",""x"":2363,""y"":539,""width"":106,""height"":81}","{""Types"":""REye""}"
14,image63.jpg,1437307,{},4,2,"{""name"":""rect"",""x"":1827,""y"":912,""width"":285,""height"":224}","{""Types"":""Muzzle""}"
15,image63.jpg,1437307,{},4,3,"{""name"":""rect"",""x"":2124,""y"":204,""width"":237,""height"":86}","{""Types"":""Forehead""}"
16,image105.jpg,1472921,{},4,0,"{""name"":""rect"",""x"":1955,""y"":708,""width"":58,""height"":98}","{""Types"":""LEye""}"
17,image105.jpg,1472921,{},4,1,"{""name"":""rect"",""x"":2400,""y"":780,""width"":89,""height"":68}","{""Types"":""REye""}"
18,image105.jpg,1472921,{},4,2,"{""name"":""rect"",""x"":1937,""y"":1196,""width"":280,""height"":193}","{""Types"":""Muzzle""}"
19,image105.jpg,1472921,{},4,3,"{""name"":""rect"",""x"":2185,""y"":395,""width"":212,""height"":89}","{""Types"":""Forehead""}"
20,image124.jpg,1537744,{},4,0,"{""name"":""rect"",""x"":2597,""y"":911,""width"":43,""height"":87}","{""Types"":""REye""}"
21,image124.jpg,1537744,{},4,1,"{""name"":""rect"",""x"":2054,""y"":954,""width"":72,""height"":79}","{""Types"":""LEye""}"
22,image124.jpg,1537744,{},4,2,"{""name"":""rect"",""x"":2285,""y"":1523,""width"":291,""height"":153}","{""Types"":""Muzzle""}"
23,image124.jpg,1537744,{},4,3,"{""name"":""rect"",""x"":2241,""y"":635,""width"":227,""height"":68}","{""Types"":""Forehead""}"
24,image134.jpg,1503523,{},4,0,"{""name"":""rect"",""x"":2024,""y"":922,""width"":66,""height"":89}","{""Types"":""LEye""}"
25,image134.jpg,1503523,{},4,1,"{""name"":""rect"",""x"":2534,""y"":939,""width"":55,""height"":83}","{""Types"":""REye""}"
26,image134.jpg,1503523,{},4,2,"{""name"":""rect"",""x"":2156,""y"":1510,""width"":293,""height"":146}","{""Types"":""Muzzle""}"
27,image134.jpg,1503523,{},4,3,"{""name"":""rect"",""x"":2217,""y"":614,""width"":219,""height"":74}","{""Types"":""Forehead""}"
28,image158.jpg,1528949,{},4,0,"{""name"":""rect"",""x"":2003,""y"":992,""width"":66,""height"":102}","{""Types"":""LEye""}"
29,image158.jpg,1528949,{},4,1,"{""name"":""rect"",""x"":2498,""y"":1030,""width"":64,""height"":85}","{""Types"":""REye""}"
30,image158.jpg,1528949,{},4,2,"{""name"":""rect"",""x"":2117,""y"":1586,""width"":265,""height"":121}","{""Types"":""Muzzle""}"
31,image158.jpg,1528949,{},4,3,"{""name"":""rect"",""x"":2185,""y"":716,""width"":231,""height"":81}","{""Types"":""Forehead""}"
32,image380.jpg,1666220,{},4,0,"{""name"":""rect"",""x"":2587,""y"":900,""width"":51,""height"":72}","{""Types"":""REye""}"
