,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,image0.jpg,1560938,{},4,0,"{""name"":""rect"",""x"":1755,""y"":675,""width"":109,""height"":109}","{""Types"":""LEye""}"
1,image0.jpg,1560938,{},4,1,"{""name"":""rect"",""x"":2348,""y"":685,""width"":89,""height"":105}","{""Types"":""REye""}"
2,image0.jpg,1560938,{},4,2,"{""name"":""rect"",""x"":1943,""y"":1400,""width"":336,""height"":178}","{""Types"":""Muzzle""}"
3,image0.jpg,1560938,{},4,3,"{""name"":""rect"",""x"":2006,""y"":366,""width"":227,""height"":92}","{""Types"":""Forehead""}"
4,image179.jpg,1423146,{},4,0,"{""name"":""rect"",""x"":1752,""y"":606,""width"":102,""height"":119}","{""Types"":""LEye""}"
5,image179.jpg,1423146,{},4,1,"{""name"":""rect"",""x"":2404,""y"":705,""width"":76,""height"":96}","{""Types"":""REye""}"
6,image179.jpg,1423146,{},4,2,"{""name"":""rect"",""x"":1880,""y"":1406,""width"":379,""height"":227}","{""Types"":""Muzzle""}"
7,image179.jpg,1423146,{},4,3,"{""name"":""rect"",""x"":2062,""y"":369,""width"":234,""height"":89}","{""Types"":""Forehead""}"
8,image189.jpg,1355591,{},4,0,"{""name"":""rect"",""x"":1887,""y"":375,""width"":102,""height"":138}","{""Types"":""LEye""}"
9,image189.jpg,1355591,{},4,1,"{""name"":""rect"",""x"":2454,""y"":665,""width"":63,""height"":96}","{""Types"":""REye""}"
10,image189.jpg,1355591,{},4,2,"{""name"":""rect"",""x"":1913,""y"":1064,""width"":359,""height"":336}","{""Types"":""Muzzle""}"
11,image189.jpg,1355591,{},4,3,"{""name"":""rect"",""x"":2216,""y"":260,""width"":201,""height"":92}","{""Types"":""Forehead""}"
12,image206.jpg,1394128,{},4,0,"{""name"":""rect"",""x"":1676,""y"":273,""width"":89,""height"":119}","{""Types"":""LEye""}"
13,image206.jpg,1394128,{},4,1,"{""name"":""rect"",""x"":2272,""y"":435,""width"":112,""height"":135}","{""Types"":""REye""}"
14,image206.jpg,1394128,{},4,2,"{""name"":""rect"",""x"":1666,""y"":794,""width"":382,""height"":316}","{""Types"":""Muzzle""}"
15,image206.jpg,1394128,{},4,3,"{""name"":""rect"",""x"":1969,""y"":155,""width"":198,""height"":76}","{""Types"":""Forehead""}"
16,image217.jpg,1381809,{},4,0,"{""name"":""rect"",""x"":1498,""y"":287,""width"":63,""height"":122}","{""Types"":""LEye""}"
17,image217.jpg,1381809,{},4,1,"{""name"":""rect"",""x"":2068,""y"":405,""width"":112,""height"":112}","{""Types"":""REye""}"
18,image217.jpg,1381809,{},4,2,"{""name"":""rect"",""x"":1377,""y"":840,""width"":362,""height"":290}","{""Types"":""Muzzle""}"
19,image217.jpg,1381809,{},4,3,"{""name"":""rect"",""x"":1785,""y"":119,""width"":204,""height"":82}","{""Types"":""Forehead""}"
24,image251.jpg,1371389,{},4,0,"{""name"":""rect"",""x"":1429,""y"":517,""width"":66,""height"":92}","{""Types"":""LEye""}"
25,image251.jpg,1371389,{},4,1,"{""name"":""rect"",""x"":1897,""y"":497,""width"":125,""height"":132}","{""Types"":""REye""}"
26,image251.jpg,1371389,{},4,2,"{""name"":""rect"",""x"":1298,""y"":1116,""width"":316,""height"":211}","{""Types"":""Muzzle""}"
27,image251.jpg,1371389,{},4,3,"{""name"":""rect"",""x"":1649,""y"":207,""width"":188,""height"":79}","{""Types"":""Forehead""}"
32,image308.jpg,1493355,{},4,0,"{""name"":""rect"",""x"":1643,""y"":1077,""width"":102,""height"":119}","{""Types"":""LEye""}"
33,image308.jpg,1493355,{},4,1,"{""name"":""rect"",""x"":2141,""y"":1047,""width"":92,""height"":122}","{""Types"":""REye""}"
34,image308.jpg,1493355,{},4,2,"{""name"":""rect"",""x"":1745,""y"":1726,""width"":277,""height"":145}","{""Types"":""Muzzle""}"
35,image308.jpg,1493355,{},4,3,"{""name"":""rect"",""x"":1854,""y"":764,""width"":181,""height"":72}","{""Types"":""Forehead""}"
36,image323.jpg,1410532,{},4,0,"{""name"":""rect"",""x"":1624,""y"":1146,""width"":92,""height"":112}","{""Types"":""LEye""}"
37,image323.jpg,1410532,{},4,1,"{""name"":""rect"",""x"":2095,""y"":1130,""width"":92,""height"":105}","{""Types"":""REye""}"
38,image323.jpg,1410532,{},4,2,"{""name"":""rect"",""x"":1716,""y"":1762,""width"":290,""height"":132}","{""Types"":""Muzzle""}"
39,image323.jpg,1410532,{},4,3,"{""name"":""rect"",""x"":1805,""y"":850,""width"":184,""height"":69}","{""Types"":""Forehead""}"
48,image479.jpg,1491671,{},4,0,"{""name"":""rect"",""x"":1693,""y"":1090,""width"":82,""height"":105}","{""Types"":""LEye""}"
49,image479.jpg,1491671,{},4,1,"{""name"":""rect"",""x"":2230,""y"":1103,""width"":92,""height"":109}","{""Types"":""REye""}"
50,image479.jpg,1491671,{},4,2,"{""name"":""rect"",""x"":1811,""y"":1792,""width"":319,""height"":178}","{""Types"":""Muzzle""}"
51,image479.jpg,1491671,{},4,3,"{""name"":""rect"",""x"":1936,""y"":817,""width"":191,""height"":79}","{""Types"":""Forehead""}"
