,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,image0.jpg,1492674,{},4,0,"{""name"":""rect"",""x"":1640,""y"":1004,""width"":79,""height"":96}","{""Types"":""LEye""}"
1,image0.jpg,1492674,{},4,1,"{""name"":""rect"",""x"":2088,""y"":1034,""width"":82,""height"":109}","{""Types"":""REye""}"
2,image0.jpg,1492674,{},4,2,"{""name"":""rect"",""x"":1792,""y"":1541,""width"":244,""height"":119}","{""Types"":""Muzzle""}"
3,image0.jpg,1492674,{},4,3,"{""name"":""rect"",""x"":1811,""y"":748,""width"":194,""height"":69}","{""Types"":""Forehead""}"
12,image430.jpg,1452205,{},4,0,"{""name"":""rect"",""x"":1452,""y"":873,""width"":72,""height"":109}","{""Types"":""LEye""}"
13,image430.jpg,1452205,{},4,1,"{""name"":""rect"",""x"":2029,""y"":863,""width"":96,""height"":119}","{""Types"":""REye""}"
14,image430.jpg,1452205,{},4,2,"{""name"":""rect"",""x"":1581,""y"":1531,""width"":283,""height"":151}","{""Types"":""Muzzle""}"
15,image430.jpg,1452205,{},4,3,"{""name"":""rect"",""x"":1680,""y"":537,""width"":217,""height"":79}","{""Types"":""Forehead""}"
28,image955.jpg,1485136,{},4,0,"{""name"":""rect"",""x"":1416,""y"":1011,""width"":66,""height"":89}","{""Types"":""LEye""}"
29,image955.jpg,1485136,{},4,1,"{""name"":""rect"",""x"":1884,""y"":998,""width"":99,""height"":119}","{""Types"":""REye""}"
30,image955.jpg,1485136,{},4,2,"{""name"":""rect"",""x"":1489,""y"":1538,""width"":277,""height"":168}","{""Types"":""Muzzle""}"
31,image955.jpg,1485136,{},4,3,"{""name"":""rect"",""x"":1584,""y"":761,""width"":198,""height"":69}","{""Types"":""Forehead""}"
32,image1274.jpg,1492845,{},3,0,"{""name"":""rect"",""x"":1298,""y"":1275,""width"":115,""height"":102}","{""Types"":""REye""}"
33,image1274.jpg,1492845,{},3,1,"{""name"":""rect"",""x"":879,""y"":1821,""width"":224,""height"":142}","{""Types"":""Muzzle""}"
34,image1274.jpg,1492845,{},3,2,"{""name"":""rect"",""x"":1047,""y"":1014,""width"":181,""height"":76}","{""Types"":""Forehead""}"
35,image1500.jpg,1573065,{},4,0,"{""name"":""rect"",""x"":1617,""y"":1024,""width"":82,""height"":109}","{""Types"":""LEye""}"
36,image1500.jpg,1573065,{},4,1,"{""name"":""rect"",""x"":2137,""y"":1041,""width"":79,""height"":115}","{""Types"":""REye""}"
37,image1500.jpg,1573065,{},4,2,"{""name"":""rect"",""x"":1716,""y"":1630,""width"":273,""height"":155}","{""Types"":""Muzzle""}"
38,image1500.jpg,1573065,{},4,3,"{""name"":""rect"",""x"":1811,""y"":748,""width"":247,""height"":76}","{""Types"":""Forehead""}"
39,image1601.jpg,1530355,{},4,0,"{""name"":""rect"",""x"":1472,""y"":1222,""width"":86,""height"":105}","{""Types"":""LEye""}"
40,image1601.jpg,1530355,{},4,1,"{""name"":""rect"",""x"":1976,""y"":1248,""width"":92,""height"":112}","{""Types"":""REye""}"
41,image1601.jpg,1530355,{},4,2,"{""name"":""rect"",""x"":1610,""y"":1824,""width"":267,""height"":135}","{""Types"":""Muzzle""}"
42,image1601.jpg,1530355,{},4,3,"{""name"":""rect"",""x"":1693,""y"":906,""width"":214,""height"":86}","{""Types"":""Forehead""}"
43,image1839.jpg,1533097,{},4,0,"{""name"":""rect"",""x"":1442,""y"":998,""width"":92,""height"":105}","{""Types"":""LEye""}"
44,image1839.jpg,1533097,{},4,1,"{""name"":""rect"",""x"":1913,""y"":1008,""width"":76,""height"":96}","{""Types"":""REye""}"
45,image1839.jpg,1533097,{},4,2,"{""name"":""rect"",""x"":1614,""y"":1538,""width"":244,""height"":119}","{""Types"":""Muzzle""}"
46,image1839.jpg,1533097,{},4,3,"{""name"":""rect"",""x"":1624,""y"":771,""width"":191,""height"":69}","{""Types"":""Forehead""}"
