,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,image0.jpg,1575424,{},4,0,"{""name"":""rect"",""x"":1595,""y"":903,""width"":91,""height"":117}","{""Types"":""LEye""}"
1,image0.jpg,1575424,{},4,1,"{""name"":""rect"",""x"":2117,""y"":907,""width"":60,""height"":113}","{""Types"":""REye""}"
2,image0.jpg,1575424,{},4,2,"{""name"":""rect"",""x"":1769,""y"":1523,""width"":302,""height"":151}","{""Types"":""Muzzle""}"
3,image0.jpg,1575424,{},4,3,"{""name"":""rect"",""x"":1784,""y"":552,""width"":219,""height"":83}","{""Types"":""Forehead""}"
4,image25.jpg,1598652,{},4,0,"{""name"":""rect"",""x"":1565,""y"":915,""width"":87,""height"":106}","{""Types"":""LEye""}"
5,image25.jpg,1598652,{},4,1,"{""name"":""rect"",""x"":2083,""y"":930,""width"":72,""height"":117}","{""Types"":""REye""}"
6,image25.jpg,1598652,{},4,2,"{""name"":""rect"",""x"":1723,""y"":1553,""width"":287,""height"":129}","{""Types"":""Muzzle""}"
7,image25.jpg,1598652,{},4,3,"{""name"":""rect"",""x"":1757,""y"":556,""width"":215,""height"":68}","{""Types"":""Forehead""}"
16,image223.jpg,1648074,{},4,0,"{""name"":""rect"",""x"":1871,""y"":990,""width"":110,""height"":125}","{""Types"":""LEye""}"
17,image223.jpg,1648074,{},4,1,"{""name"":""rect"",""x"":2377,""y"":986,""width"":72,""height"":121}","{""Types"":""REye""}"
18,image223.jpg,1648074,{},4,2,"{""name"":""rect"",""x"":2064,""y"":1595,""width"":276,""height"":151}","{""Types"":""Muzzle""}"
19,image223.jpg,1648074,{},4,3,"{""name"":""rect"",""x"":2052,""y"":650,""width"":219,""height"":68}","{""Types"":""Forehead""}"
20,image326.jpg,1585521,{},4,0,"{""name"":""rect"",""x"":2290,""y"":525,""width"":64,""height"":125}","{""Types"":""REye""}"
21,image326.jpg,1585521,{},4,1,"{""name"":""rect"",""x"":1776,""y"":609,""width"":110,""height"":98}","{""Types"":""LEye""}"
22,image326.jpg,1585521,{},4,2,"{""name"":""rect"",""x"":2037,""y"":1047,""width"":295,""height"":181}","{""Types"":""Muzzle""}"
23,image326.jpg,1585521,{},4,3,"{""name"":""rect"",""x"":1943,""y"":272,""width"":223,""height"":102}","{""Types"":""Forehead""}"
24,image386.jpg,1617979,{},4,0,"{""name"":""rect"",""x"":1663,""y"":850,""width"":91,""height"":110}","{""Types"":""LEye""}"
25,image386.jpg,1617979,{},4,1,"{""name"":""rect"",""x"":2166,""y"":831,""width"":79,""height"":125}","{""Types"":""REye""}"
26,image386.jpg,1617979,{},4,2,"{""name"":""rect"",""x"":1856,""y"":1421,""width"":291,""height"":159}","{""Types"":""Muzzle""}"
27,image386.jpg,1617979,{},4,3,"{""name"":""rect"",""x"":1848,""y"":537,""width"":200,""height"":87}","{""Types"":""Forehead""}"
28,image456.jpg,1712050,{},4,0,"{""name"":""rect"",""x"":1531,""y"":975,""width"":98,""height"":106}","{""Types"":""LEye""}"
29,image456.jpg,1712050,{},4,1,"{""name"":""rect"",""x"":2041,""y"":945,""width"":68,""height"":121}","{""Types"":""REye""}"
30,image456.jpg,1712050,{},4,2,"{""name"":""rect"",""x"":1697,""y"":1546,""width"":302,""height"":155}","{""Types"":""Muzzle""}"
31,image456.jpg,1712050,{},4,3,"{""name"":""rect"",""x"":1712,""y"":627,""width"":219,""height"":76}","{""Types"":""Forehead""}"
40,image980.jpg,1816117,{},4,0,"{""name"":""rect"",""x"":1977,""y"":1398,""width"":79,""height"":91}","{""Types"":""LEye""}"
41,image980.jpg,1816117,{},4,1,"{""name"":""rect"",""x"":2358,""y"":1361,""width"":53,""height"":98}","{""Types"":""REye""}"
42,image980.jpg,1816117,{},4,2,"{""name"":""rect"",""x"":2151,""y"":1810,""width"":212,""height"":83}","{""Types"":""Muzzle""}"
43,image980.jpg,1816117,{},4,3,"{""name"":""rect"",""x"":2113,""y"":1138,""width"":132,""height"":42}","{""Types"":""Forehead""}"
